,RV_actual,RV_forecast_best,RV_forecast_ensemble
2018-02-15,3.8253500374547373e-05,0.00011156407045582835,0.00011381887473657656
2018-02-16,2.3794247730917973e-05,8.894980450839131e-05,9.535559543648871e-05
2018-02-19,5.242862852224783e-05,7.716164715701141e-05,8.672037616863301e-05
2018-02-20,3.757747824527721e-05,0.00010333977477942013,0.00010121193121158368
2018-02-21,5.368696775584182e-05,9.26717073167572e-05,9.349895379502563e-05
2018-02-22,3.434390345885805e-05,0.00010779548478619524,0.00010181394688010908
2018-02-23,2.404870493846732e-05,9.062848607856812e-05,9.283427897046098e-05
2018-02-26,3.1377400733174117e-05,8.128825776988569e-05,8.72901637254261e-05
2018-02-27,3.178242937809068e-05,8.839466343713155e-05,9.112956858882347e-05
2018-02-28,7.751416537682468e-05,8.891583141897053e-05,9.150209064469831e-05
2018-03-01,9.726143530676792e-05,0.00013004123694676997,0.00011460582747640522
2018-03-02,8.428933778539336e-05,0.00014710614168189572,0.00012583189079117487
2018-03-05,6.303115591481528e-05,0.0001342786522678122,0.00012021003035955881
2018-03-06,8.622313452981495e-05,0.00011460673648694953,0.00011039797828836233
2018-03-07,5.9780106193668e-05,0.00013457100708720072,0.00012343555322727134
2018-03-08,5.5331638750624085e-05,0.00010856211600509982,0.00010464796669521269
2018-03-09,3.346257178987647e-05,0.0001051519602360357,0.00010106386004013175
2018-03-12,5.373709479507157e-05,8.611161938964487e-05,8.853969579395179e-05
2018-03-13,4.930973771142908e-05,0.00010317567748080326,9.511377671863542e-05
2018-03-14,3.7746680027339074e-05,9.963500539619202e-05,9.183109947509058e-05
2018-03-15,3.487786609394315e-05,8.952218524983982e-05,8.556740010060314e-05
2018-03-16,5.6648844459568147e-05,8.622080356363749e-05,8.212067871995687e-05
2018-03-19,4.128517228580163e-05,0.00010548118489433949,9.259348882474972e-05
2018-03-20,3.691827619434213e-05,9.197714374877156e-05,8.493546480660541e-05
2018-03-21,0.0001038522362971,8.826569678273795e-05,8.291298246669938e-05
2018-03-22,0.0001071256394758,0.00014747438429582886,0.0001172295517477817
2018-03-23,9.03633640059643e-05,0.00014948959963278049,0.00012168688038348141
2018-03-26,7.361198192980179e-05,0.00013410468393449635,0.00011448503221840744
2018-03-27,0.0001120700299033,0.00011872864231574158,0.00010753443871711296
2018-03-28,4.917999686926577e-05,0.0001524641740418946,0.00012957751525830946
2018-03-29,5.034589235487052e-05,9.700263719946461e-05,9.74812405562769e-05
2018-04-03,7.837245198598324e-05,9.944068615947609e-05,9.756127877861396e-05
2018-04-04,6.582195064002418e-05,0.00012506353196156434,0.00011130353976049342
2018-04-05,5.151549571321647e-05,0.00011355197882815027,0.0001047429103852245
2018-04-06,4.172884240537425e-05,0.00010173669029967368,9.552214566063953e-05
2018-04-09,4.2136249624202105e-05,9.292955045560074e-05,9.032019486721777e-05
2018-04-10,3.019063792775107e-05,9.309716534107325e-05,8.95650427990975e-05
2018-04-11,2.607582384402844e-05,8.332607607912714e-05,8.29417181808046e-05
2018-04-12,2.110656669843574e-05,7.989138220122076e-05,7.99867615408911e-05
2018-04-13,1.9030702476537463e-05,7.604343864096505e-05,7.722411015774767e-05
2018-04-16,1.50369295099973e-05,7.42073348713172e-05,7.550023025176933e-05
2018-04-17,1.8310470391233824e-05,7.104978291037491e-05,7.277836429610172e-05
2018-04-18,1.948582278614857e-05,7.41355687649668e-05,7.406185814090112e-05
2018-04-19,4.1767031448762026e-05,7.5104358062466e-05,7.402847023101748e-05
2018-04-20,2.0254127086353363e-05,9.466143406663826e-05,8.475265193471795e-05
2018-04-23,2.9581900431466032e-05,7.522665743379031e-05,7.404031669877196e-05
2018-04-24,4.846005660007902e-05,8.326319652290546e-05,7.863613488686441e-05
2018-04-25,3.080780501108748e-05,9.913436280567562e-05,8.692666122699544e-05
2018-04-26,2.6792402754213135e-05,8.233024283855994e-05,7.704611262656535e-05
2018-04-27,1.5539177231282708e-05,7.871566188058899e-05,7.394790971561114e-05
2018-04-30,9.275621110634732e-09,6.816608865608728e-05,6.759572079815053e-05
2018-05-01,2.058698311909233e-05,5.393905670480155e-05,5.769697955297639e-05
2018-05-02,2.090397972300683e-05,7.274613215246273e-05,6.688909148978323e-05
2018-05-03,2.0476628836107855e-05,7.31593382944469e-05,6.678535516352801e-05
2018-05-04,1.1850731138627806e-05,7.280681770229214e-05,6.5426119397931e-05
2018-05-07,1.9204042209209453e-05,6.43162258384104e-05,6.010041026680884e-05
2018-05-08,1.484368468816693e-05,7.048623158355655e-05,6.326246653997609e-05
2018-05-09,2.1748737242727085e-05,6.649025857786773e-05,6.0401598999009715e-05
2018-05-10,1.596653894456556e-05,7.256003006829963e-05,6.368340596551921e-05
2018-05-11,2.3271830619287186e-05,6.736661340808608e-05,6.055247576461453e-05
2018-05-14,1.9382148175909942e-05,7.363151025702953e-05,6.420070916078378e-05
2018-05-15,2.279220177034974e-05,7.035374961286963e-05,6.229911514115515e-05
2018-05-16,1.7003955834779334e-05,7.316865885590465e-05,6.416393223191466e-05
2018-05-17,3.8621098472674705e-05,6.801051658126359e-05,6.123542122420523e-05
2018-05-18,6.13976839015375e-06,8.718572718460433e-05,7.217148505552966e-05
2018-05-21,2.2378918877249515e-05,5.8277115240030854e-05,5.602667391875979e-05
2018-05-22,5.3853529596357193e-05,7.250423692233143e-05,6.351426486601939e-05
2018-05-23,4.788457231075904e-05,0.00010033282827744087,7.937898061462306e-05
2018-05-24,6.0372619156986766e-05,9.456285537997946e-05,7.699092287567777e-05
2018-05-25,6.335529606426786e-05,0.00010546425135663911,8.353854263658542e-05
2018-05-28,0.0001685907521763,0.0001070433628073644,8.641281059813141e-05
